code,oricode
E02000001,-8
E02000002,1
E02000003,2
E02000004,3
E02000005,4
E02000007,5
E02000008,-8
E02000009,1
E02000010,2
E02000011,3
E02000012,4
E02000014,5
E02000015,-8
E02000016,1
E02000017,2
E02000018,3
E02000019,4
E02000020,5
E02000021,-8
E02000022,1
E02000023,2
E02000024,3
E02000025,4
E02000026,5
E02000027,-8
E02000028,1
E02000029,2
E02000030,3
E02000031,4
E02000032,5
E02000033,-8
E02000034,1
E02000035,2
E02000036,3
E02000037,4
E02000038,5
E02000039,-8
E02000040,1
E02000041,2
E02000042,3
E02000043,4
E02000044,5
E02000045,-8
E02000046,1
E02000047,2
E02000048,3
E02000049,4
E02000050,5
E02000051,-8
E02000052,1
E02000054,2
E02000055,3
E02000056,4
E02000057,5
E02000058,-8
E02000059,1
E02000060,2
E02000061,3
E02000062,4
E02000063,5
E02000064,-8
E02000065,1
E02000067,2
E02000068,3
E02000069,4
E02000070,5
E02000071,-8
E02000072,1
E02000073,2
E02000074,3
E02000075,4
E02000077,5
E02000078,-8
E02000079,1
E02000080,2
E02000081,3
E02000082,4
E02000083,5
E02000084,-8
E02000085,1
E02000086,2
E02000087,3
E02000088,4
E02000089,5
E02000090,-8
E02000091,1
E02000092,2
E02000093,3
E02000094,4
E02000095,5
E02000096,-8
E02000097,1
E02000098,2
E02000099,3
E02000100,4
E02000101,5
E02000102,-8
E02000103,1
E02000104,2
E02000105,3
E02000106,4
E02000107,5
E02000108,-8
E02000110,1
E02000111,2
E02000112,3
E02000113,4
E02000114,5
E02000115,-8
E02000116,1
E02000117,2
E02000118,3
E02000119,4
E02000120,5
E02000121,-8
E02000122,1
E02000123,2
E02000125,3
E02000126,4
E02000127,5
E02000128,-8
E02000130,1
E02000131,2
E02000132,3
E02000133,4
E02000134,5
E02000135,-8
E02000136,1
E02000137,2
E02000138,3
E02000139,4
E02000140,5
E02000142,-8
E02000144,1
E02000145,2
E02000146,3
E02000147,4
E02000148,5
E02000149,-8
E02000150,1
E02000151,2
E02000152,3
E02000153,4
E02000154,5
E02000155,-8
E02000156,1
E02000157,2
E02000158,3
E02000159,4
E02000160,5
E02000161,-8
E02000163,1
E02000165,2
E02000167,3
E02000168,4
E02000169,5
E02000170,-8
E02000171,1
E02000172,2
E02000173,3
E02000175,4
E02000176,5
E02000177,-8
E02000178,1
E02000179,2
E02000180,3
E02000181,4
E02000182,5
E02000183,-8
E02000184,1
E02000185,2
E02000186,3
E02000187,4
E02000188,5
E02000191,-8
E02000192,1
E02000193,2
E02000194,3
E02000195,4
E02000197,5
E02000198,-8
E02000199,1
E02000200,2
E02000201,3
E02000202,4
E02000203,5
E02000204,-8
E02000206,1
E02000207,2
E02000208,3
E02000209,4
E02000210,5
E02000211,-8
E02000212,1
E02000213,2
E02000214,3
E02000215,4
E02000216,5
E02000217,-8
E02000218,1
E02000219,2
E02000221,3
E02000222,4
E02000223,5
E02000224,-8
E02000225,1
E02000226,2
E02000227,3
E02000228,4
E02000229,5
E02000230,-8
E02000231,1
E02000232,2
E02000233,3
E02000234,4
E02000235,5
E02000236,-8
E02000237,1
E02000238,2
E02000239,3
E02000240,4
E02000241,5
E02000242,-8
E02000243,1
E02000244,2
E02000245,3
E02000246,4
